Time stamp(ms),Ax,Ay,Az,Gx,Gy,Gz,pitch,roll
6032,-0.104,-0.0512,0.9702,2.6855,1.892,0.6713,-3.075363668,-2.323939203
6032,-0.1049,-0.0498,0.9716,2.9296,1.77,0.8544,-3.091645456,-2.307639156
6032,-0.1054,-0.0483,0.9702,2.6245,1.7089,0.8544,-3.107203854,-2.292135518
6035,-0.1025,-0.0483,0.9682,2.4414,1.3427,0.7324,-3.095013118,-2.304408395
6035,-0.1054,-0.0502,0.9702,2.3803,1.0986,0.7934,-3.090285529,-2.309181622
6035,-0.1049,-0.0473,0.9711,2.0751,0.8544,0.9155,-3.114264791,-2.285284516
6042,-0.1035,-0.0502,0.9702,1.831,0.5493,0.8544,-3.082228879,-2.317402553
6042,-0.1035,-0.0483,0.9697,1.77,0.3051,0.8544,-3.099390203,-2.300286867
6042,-0.101,-0.0512,0.9697,1.5258,-0.061,0.7934,-3.062127692,-2.33764064
6045,-0.1025,-0.0507,0.9716,1.1596,-0.6103,0.8544,-3.073447989,-2.326457243
6045,-0.102,-0.0493,0.9692,0.6103,-1.2207,0.9155,-3.083980996,-2.316097653
6045,-0.104,-0.0483,0.9687,-0.1831,-2.1362,0.7934,-3.101795265,-2.298538927
6052,-0.102,-0.0507,0.9687,-0.3662,-2.5024,0.9155,-3.071445997,-2.328970335
6052,-0.1015,-0.0473,0.9702,-0.6713,-2.9296,0.8544,-3.100373475,-2.300152362
6052,-0.0996,-0.0502,0.9682,-1.1596,-3.3569,0.8544,-3.065189472,-2.33547328
6055,-0.0996,-0.0517,0.9697,-1.3427,-3.7841,0.9765,-3.051538513,-2.349215502
6055,-0.0874,-0.0634,0.934,-2.1362,-4.3334,0.7934,-2.881169734,-2.519785078
6055,-0.0966,-0.0576,0.9692,-1.0375,-3.3569,0.9155,-2.984018267,-2.416626227
6062,-0.0966,-0.0551,0.9741,0.3051,-1.2207,0.8544,-3.005944369,-2.394179919
6062,-0.0966,-0.0537,0.9614,0.6103,-0.6713,0.9155,-3.018507484,-2.38148901
6062,-0.0991,-0.0527,0.9711,0.5493,-0.5493,0.7934,-3.039842284,-2.360145088
6065,-0.0986,-0.0537,0.9741,0.4882,-0.3662,0.8544,-3.02844382,-2.371525309
6065,-0.0976,-0.0561,0.9594,0.3051,-0.1831,0.9155,-3.002145807,-2.397823322
6065,-0.0976,-0.0556,0.956,0.061,0.061,1.0375,-3.00660466,-2.393364469
6072,-0.0981,-0.0532,0.9707,0.4882,0,0.9155,-3.030497032,-2.369417337
6072,-0.0981,-0.0566,0.9677,0.8544,-0.061,0.7324,-3.000198726,-2.399670005
6072,-0.0961,-0.0551,0.9692,1.2207,0.061,0.7324,-3.003244814,-2.396550898
6075,-0.0976,-0.0546,0.9672,1.2817,0.3662,0.9155,-3.015325411,-2.384415541
6075,-0.0996,-0.0537,0.9682,1.4648,0.2441,0.8544,-3.03314145,-2.36659038
6075,-0.0971,-0.0546,0.9682,1.3427,0.1831,0.7324,-3.012805206,-2.386954004
6082,-0.0961,-0.0546,0.9687,1.5869,0.3662,0.7324,-3.007687139,-2.392008174
6082,-0.0917,-0.0576,0.9731,1.5258,0.061,0.7934,-2.957077382,-2.442672706
6082,-0.0971,-0.0571,0.9702,1.6479,0.122,0.7934,-2.990590422,-2.409132286
6085,-0.0957,-0.0541,0.9687,1.892,0.122,0.7934,-3.010113349,-2.389572858
6085,-0.0942,-0.0551,0.9667,1.77,0.3051,0.8544,-2.993239082,-2.406437988
6085,-0.0937,-0.0546,0.9692,1.831,0.5493,0.7934,-2.995122869,-2.404508562
6092,-0.0957,-0.0551,0.9707,1.831,0.6713,0.7934,-3.001088944,-2.398524244
6092,-0.0986,-0.0556,0.9692,1.77,0.7324,0.8544,-3.011360016,-2.388253158
6092,-0.0976,-0.0561,0.9667,1.7089,0.6103,0.7934,-3.001935889,-2.39770468
6095,-0.0966,-0.0532,0.9667,1.6479,0.7324,0.8544,-3.022893307,-2.376738124
6095,-0.0961,-0.0537,0.9687,1.7089,0.7324,0.8544,-3.01581441,-2.3838079
6095,-0.0961,-0.0561,0.9682,1.6479,0.6713,0.7934,-2.994247203,-2.405393365
6102,-0.0981,-0.0576,0.9702,1.77,0.6103,0.8544,-2.991336733,-2.408294698
6102,-0.0947,-0.0546,0.9677,1.831,0.6103,0.7324,-3.000400708,-2.399221602
6102,-0.0942,-0.0561,0.9682,1.831,0.6103,0.7324,-2.984208229,-2.415414081
6105,-0.0957,-0.059,0.9707,1.831,0.4882,0.7324,-2.966634375,-2.433006193
6105,-0.0966,-0.0541,0.9687,1.7089,0.4882,0.7324,-3.014724759,-2.384934067
6105,-0.0942,-0.0561,0.9711,1.5869,0.5493,0.6713,-2.98424473,-2.415423203
6112,-0.0961,-0.0551,0.9672,1.7089,0.5493,0.9155,-3.00317181,-2.39647788
6112,-0.0932,-0.0541,0.9692,1.77,0.6103,0.7934,-2.99704892,-2.402582511
6112,-0.0976,-0.0546,0.9731,1.831,0.5493,0.8544,-3.015243271,-2.384388161
6115,-0.0966,-0.0571,0.9677,1.892,0.6713,0.8544,-2.987965704,-2.411638363
6115,-0.0947,-0.0527,0.9682,1.77,0.4882,0.7324,-3.01781459,-2.3818351
6115,-0.0952,-0.0537,0.9682,1.7089,0.5493,0.7324,-3.011211701,-2.388437989
6122,-0.0942,-0.0551,0.9697,1.831,0.5493,0.7324,-2.993229961,-2.406401471
6122,-0.0952,-0.0551,0.9667,1.7089,0.6103,0.7934,-2.998508145,-2.401132424
6122,-0.0961,-0.0517,0.9687,1.831,0.6713,0.6103,-3.034130719,-2.365482469
6125,-0.0947,-0.0541,0.9687,1.892,0.4272,0.7934,-3.004942746,-2.394697823
6125,-0.0971,-0.0551,0.9692,1.9531,0.4272,0.7934,-3.008240634,-2.391390797
6125,-0.0981,-0.0556,0.9692,1.77,0.4882,0.7934,-3.008864224,-2.390785466
6132,-0.0937,-0.0546,0.9697,1.7089,0.5493,0.7324,-2.995141128,-2.404508562
6132,-0.0961,-0.0556,0.9711,1.892,0.4882,0.7934,-2.998667492,-2.400963955
6132,-0.0966,-0.0566,0.9663,1.77,0.4272,0.7934,-2.992389381,-2.40726943
6135,-0.0952,-0.0556,0.9707,1.892,0.4882,0.7934,-2.993982787,-2.40564866
6135,-0.0932,-0.0585,0.9707,1.831,0.4272,0.7934,-2.957403904,-2.442245786
6135,-0.0957,-0.0561,0.9687,1.7089,0.6103,0.7324,-2.99215494,-2.407485628
6142,-0.0986,-0.0537,0.9687,1.831,0.4882,0.7934,-3.028243023,-2.371397545
6142,-0.0966,-0.0537,0.9692,1.7089,0.6713,0.8544,-3.018343204,-2.381288243
6142,-0.0976,-0.0551,0.9687,1.77,0.5493,0.7934,-3.010790985,-2.388849569
6145,-0.0952,-0.0566,0.9682,1.892,0.4882,0.7934,-2.985048414,-2.414583033
6145,-0.0947,-0.0527,0.9663,1.9531,0.6103,0.7934,-3.017787209,-2.381816842
6145,-0.0947,-0.0532,0.9707,1.77,0.6103,0.7934,-3.013205353,-2.386426078
6152,-0.0957,-0.059,0.9682,1.892,0.7324,0.7934,-2.966625253,-2.432969677
6152,-0.0957,-0.0561,0.9702,1.831,0.5493,0.7324,-2.992136682,-2.40749475
6152,-0.0966,-0.0561,0.9697,1.831,0.4272,0.8544,-2.996805631,-2.402844059
6155,-0.0952,-0.0566,0.9667,1.77,0.5493,0.9155,-2.985066657,-2.414573896
6155,-0.0927,-0.0551,0.9697,1.77,0.7324,0.7934,-2.985191383,-2.414421791
6155,-0.0961,-0.0556,0.9677,1.77,0.6103,0.6713,-2.998685735,-2.400945696
6162,-0.0966,-0.0566,0.9716,1.7089,0.5493,0.7324,-2.992398518,-2.407251172
6162,-0.0937,-0.0576,0.9702,1.892,0.6713,0.7934,-2.968106123,-2.431497944
6162,-0.0991,-0.0576,0.9692,1.77,0.6713,0.6713,-2.996398607,-2.403223703
6165,-0.0971,-0.0566,0.9692,1.831,0.4882,0.7934,-2.994957403,-2.404683165
6165,-0.0952,-0.0556,0.9658,1.7089,0.6103,0.6713,-2.994010167,-2.405630401
6165,-0.0952,-0.0561,0.9682,1.831,0.5493,0.8544,-2.98951446,-2.410116972
6172,-0.0942,-0.0537,0.9697,1.77,0.5493,0.7324,-3.006010399,-2.393630154
6172,-0.0957,-0.0537,0.9692,1.77,0.6103,0.8544,-3.013767753,-2.385863679
6172,-0.0952,-0.0576,0.9697,1.831,0.6103,0.8544,-2.976205229,-2.423417081
6175,-0.0957,-0.0581,0.9697,2.0141,0.6713,0.7324,-2.974448476,-2.425137332
6175,-0.0937,-0.0537,0.9677,1.831,0.6103,0.7324,-3.003373856,-2.396248454
6175,-0.0957,-0.0561,0.9711,1.892,0.7324,0.7324,-2.99212756,-2.40746737
6182,-0.0937,-0.0566,0.9711,1.892,0.6713,0.8544,-2.977023997,-2.422580069
6182,-0.0957,-0.0541,0.9687,1.892,0.5493,0.7934,-3.010113349,-2.389508961
6182,-0.0986,-0.0527,0.9702,1.892,0.6713,0.8544,-3.037235267,-2.3623688
6185,-0.0971,-0.0551,0.9702,1.77,0.5493,0.7934,-3.008268014,-2.391372539
6185,-0.0922,-0.0551,0.9677,1.77,0.7324,0.9155,-2.982465839,-2.417147335
6185,-0.0927,-0.0551,0.9687,1.77,0.6713,0.7324,-2.985191383,-2.414430927
6192,-0.0952,-0.0517,0.9702,1.77,0.6103,0.7934,-3.029629537,-2.370001894
6192,-0.0932,-0.0551,0.9707,1.77,0.6713,0.7934,-2.987895287,-2.411727023
6192,-0.0947,-0.0576,0.9692,1.831,0.7324,0.7934,-2.973529344,-2.426074708
6195,-0.0957,-0.0551,0.9677,1.9531,0.6103,0.7324,-3.001070686,-2.398533366
6195,-0.0952,-0.061,0.9702,1.77,0.5493,0.8544,-2.946728953,-2.4529116
6195,-0.0957,-0.0546,0.9716,1.892,0.6713,0.8544,-3.005586428,-2.394017638
6202,-0.0937,-0.0541,0.9697,1.831,0.6103,0.7324,-2.999698274,-2.399924036
6202,-0.0961,-0.0546,0.9692,1.892,0.7324,0.8544,-3.007641516,-2.391953414
6202,-0.0932,-0.0576,0.9672,1.892,0.7324,0.7934,-2.965367485,-2.434227445
6205,-0.0942,-0.0561,0.9682,1.77,0.6103,0.7934,-2.98421735,-2.415414081
6205,-0.0966,-0.0551,0.9707,1.77,0.5493,0.9765,-3.005725313,-2.39391524
6205,-0.0957,-0.0551,0.9687,1.77,0.6713,0.8544,-3.001098066,-2.398524244
6212,-0.0922,-0.0541,0.9687,1.831,0.6103,0.9155,-2.991658354,-2.407963956
6212,-0.0932,-0.0556,0.9687,1.7089,0.7324,0.7934,-2.983359728,-2.416262581
6212,-0.0937,-0.0541,0.9682,1.831,0.6713,0.8544,-2.999698274,-2.399914915
6215,-0.0947,-0.0541,0.9687,1.9531,0.6713,0.7324,-3.004933609,-2.394661321
